ar;confinamiento.py;0020;يحسب نطاق ±3σ للتصور
ar;confinamiento.py;0037;متوسط نصف القطر (فم)
ar;confinamiento.py;0037;الحد الأدنى (فم)
ar;confinamiento.py;0037;الحد الأقصى (فم)
ar;confinamiento.py;0038;{mc_mean:.3f}
ar;confinamiento.py;0038;{mc_min:.3f}
ar;confinamiento.py;0038;{mc_max:.3f}
ar;confinamiento.py;0038;±{MC_sigma:.3f}
ar;confinamiento.py;0038;ميكانيكا الكم (MC)
ar;confinamiento.py;0039;{lhc_mean:.5f}
ar;confinamiento.py;0039;{lhc_min:.5f}
ar;confinamiento.py;0039;{lhc_max:.5f}
ar;confinamiento.py;0039;±{LHC_sigma:.3f}
ar;confinamiento.py;0039;تجريبي LHC
ar;confinamiento.py;0040;{ved_mean:.5f}
ar;confinamiento.py;0040;{ved_min:.5f}
ar;confinamiento.py;0040;{ved_max:.5f}
ar;confinamiento.py;0040;±{VED_sigma:.5f}
ar;confinamiento.py;0040;أينشتاين-VED
ar;confinamiento.py;0072;الشكل 1: هندسات الحصر ثنائية وثلاثية الأبعاد
ar;confinamiento.py;0079;الإلكترون: حصر ثنائي الأبعاد\nن = 137 (السطح)
ar;confinamiento.py;0084;البروتون: حصر ثلاثي الأبعاد\nن = 4 (الحجم)
ar;confinamiento.py;0089;الكواركات: ثنائيات قطب هندسية\nتثبيت ثلاثي الأبعاد
ar;confinamiento.py;0094;إحصاءات كمية ناشئة: ثنائي vs ثلاثي الأبعاد
ar;confinamiento.py;0100;سطح الإلكترون ثنائي الأبعاد - مقاييس نظيفة
ar;confinamiento.py;0132;حجم البروتون ثلاثي الأبعاد - مقاييس نظيفة
ar;confinamiento.py;0171;ثنائيات قطب الكواركات مثبتة في الأبعاد
ar;confinamiento.py;0187;كوارك {dim}
ar;confinamiento.py;0192;الحصر الهادروني
ar;confinamiento.py;0200;مقارنة إحصائية فيرمي vs بوز
ar;confinamiento.py;0201;حصر ثنائي الأبعاد\n(الإلكترون)
ar;confinamiento.py;0201;حصر ثلاثي الأبعاد\n(البروتون)
ar;confinamiento.py;0208;فيرمي-ديراك (استبعاد)
ar;confinamiento.py;0210;بوز-أينشتاين (تكثيف)
ar;confinamiento.py;0213;السلوك الإحصائي
ar;confinamiento.py;0218;أقصى 1 جسيم\nلكل حالة
ar;confinamiento.py;0219;جسيمات متعددة\nنفس الحالة
ar;confinamiento.py;0224;الشكل 2: التحقق التجريبي
ar;confinamiento.py;0228;بروتون VED
ar;confinamiento.py;0228;بروتون LHC
ar;confinamiento.py;0228;نيوترون VED
ar;confinamiento.py;0228;نيوترون تجريبي
ar;confinamiento.py;0234;نصف القطر (فم)
ar;confinamiento.py;0235;تنبؤ أنصاف أقطار هادرونية
ar;confinamiento.py;0240;{radius:.5f}
ar;confinamiento.py;0243;أينشتاين-VED
ar;confinamiento.py;0243;QCD شبكي
ar;confinamiento.py;0243;النموذج المكون
ar;confinamiento.py;0247;الدقة (%)
ar;confinamiento.py;0248;مقارنة الدقة
ar;confinamiento.py;0253;{prec}%
ar;confinamiento.py;0259;أينشتاين-VED
